Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
#1_get_method,177,4205,83,21083,7933.75,20.904%,1.52903,1.03,0.18,689.2
#2_user_info_2,172,5053,113,21067,8530.39,22.093%,1.51906,1.33,0.29,894.0
#3_user_info_3,172,5251,187,21090,8256.29,25.000%,1.49040,1.26,0.27,864.7
#4_object_info_1,165,4802,185,21063,7797.29,28.485%,1.43232,1.25,0.17,896.9
#5_object_info_2,148,5555,180,21079,8327.41,25.000%,1.28901,1.20,0.16,956.6
#6_object_info_3,143,7296,179,21071,9520.56,34.266%,1.24850,1.39,0.13,1143.6
#7_object_info_4,140,8023,184,21059,9855.32,40.714%,1.22570,1.45,0.12,1214.3
#8_login,134,8045,186,21052,9866.43,39.552%,1.17574,1.37,0.16,1193.8
#9_new_data,130,8164,106,21087,9712.51,45.385%,1.14250,1.47,0.19,1316.3
#10_test_pet_info,117,10633,193,21054,10137.42,54.701%,1.03198,1.57,0.15,1561.4
#11_get_test_user,108,10341,93,21079,9968.24,58.333%,.88401,1.43,0.12,1657.7
TOTAL,1606,6723,83,21090,9238.56,34.060%,12.86436,13.61,1.78,1083.7
